osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"24482813","5124",pedestrian,Chemin des Ruines-Romaines,,B,"0","0",F,F,104.743464790983282,13.679262211271276,"10"
"24482815","5124",pedestrian,,,B,"0","0",F,F,3.738079779683504,176.485047555886069,"178"
"24482819","5124",pedestrian,Avenue Emile-Henri-Jaques-Dalcroze,,B,"0","0",F,F,138.533266888331582,350.712395523505108,"354"
"24482820","5124",pedestrian,Chemin du Boissy,,B,"0","0",F,F,199.629183673703778,92.350846115258165,"94"
"24490410","5124",pedestrian,Chemin des Tennis,,B,"0","0",F,F,283.191640684076390,277.696421920977059,"282"
"24497356","5114",secondary,,"138",B,"50","0",F,F,52.621497374852211,0.000000000000000,
"24497358","5115",tertiary,Avenue Fantaisie,,B,"50","0",F,F,110.209142297386123,54.989597232468711,"45"
"24497359","5115",tertiary,,,B,"50","0",F,F,45.475237117727204,0.000000000000000,
"24497360","5115",tertiary,,,B,"50","0",F,F,65.494644880046096,0.000000000000000,
"24497361","5115",tertiary,Avenue de Montchoisi,,F,"50","0",F,F,10.910888163445504,265.190838126476876,"264"
"24497362","5115",tertiary,Avenue de Montchoisi,,F,"50","0",F,F,12.605075927488228,94.093422827503971,"96"
"24497365","5115",tertiary,Avenue Charles-Ferdinand-Ramuz,,B,"50","0",F,F,3.926906331166508,104.012939916277006,"110"
"24509117","5124",pedestrian,Jetée d'Osches,,B,"0","0",F,F,313.436602170815149,233.401420104658939,"223"
"24509118","5154",path,,,B,"0","0",F,F,210.790555209505840,104.737010873462381,"111"
"24509119","5124",pedestrian,Avenue Emile-Henri-Jaques-Dalcroze,,B,"0","0",F,F,63.243897797622331,100.982079546384043,"106"
"24509120","5124",pedestrian,Avenue Emile-Henri-Jaques-Dalcroze,,B,"0","0",F,F,113.488864509887463,19.610163670791877,"14"
"24509121","5124",pedestrian,Avenue Emile-Henri-Jaques-Dalcroze,,B,"0","0",F,F,27.179687844371067,241.626536326535614,"232"
